cycle;started_at;ended_at;daemon_stop_reason;attempts_before;attempts_after;real_runs_before;real_runs_after;best_near_valid_before;best_near_valid_after;best_valid_after;expansion_done;repair_done;next_axis
59;2026-05-27T05:39:40.127138+00:00;2026-05-27T05:40:23.137319+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
60;2026-05-27T05:41:14.322180+00:00;2026-05-27T05:41:56.551881+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
61;2026-05-27T05:42:48.477849+00:00;2026-05-27T05:43:30.417201+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
62;2026-05-27T05:44:21.404506+00:00;2026-05-27T05:45:02.914213+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
63;2026-05-27T05:45:54.328886+00:00;2026-05-27T05:46:36.430794+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
64;2026-05-27T05:47:27.653537+00:00;2026-05-27T05:48:09.428769+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
65;2026-05-27T05:49:00.285184+00:00;2026-05-27T05:49:41.863974+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
66;2026-05-27T05:50:32.779085+00:00;2026-05-27T05:51:14.793804+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
67;2026-05-27T05:52:06.435436+00:00;2026-05-27T05:52:49.986661+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
68;2026-05-27T05:53:41.594406+00:00;2026-05-27T05:54:25.411865+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
69;2026-05-27T05:55:17.421333+00:00;2026-05-27T05:56:01.196630+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
70;2026-05-27T05:56:53.126918+00:00;2026-05-27T05:57:36.319500+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
71;2026-05-27T05:58:28.521208+00:00;2026-05-27T05:59:11.647173+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
72;2026-05-27T06:00:03.296284+00:00;2026-05-27T06:00:46.440628+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
73;2026-05-27T06:01:38.244575+00:00;2026-05-27T06:02:21.307610+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
74;2026-05-27T06:03:13.029378+00:00;2026-05-27T06:03:56.234929+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
75;2026-05-27T06:04:48.074499+00:00;2026-05-27T06:05:29.664305+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
76;2026-05-27T06:06:20.880175+00:00;2026-05-27T06:07:02.965443+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
77;2026-05-27T06:07:54.063267+00:00;2026-05-27T06:08:35.400817+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
78;2026-05-27T06:09:26.330794+00:00;2026-05-27T06:10:08.813298+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
79;2026-05-27T06:11:00.721995+00:00;2026-05-27T06:11:42.688379+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
80;2026-05-27T06:12:33.614005+00:00;2026-05-27T06:13:15.475294+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
81;2026-05-27T06:14:06.211940+00:00;2026-05-27T06:14:47.369323+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
82;2026-05-27T06:15:38.299401+00:00;2026-05-27T06:16:19.723946+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
83;2026-05-27T06:17:10.414536+00:00;2026-05-27T06:17:52.122387+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
84;2026-05-27T06:18:43.178641+00:00;2026-05-27T06:19:24.030260+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
85;2026-05-27T06:20:14.649616+00:00;2026-05-27T06:20:57.245522+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
86;2026-05-27T06:21:48.422150+00:00;2026-05-27T06:22:31.126647+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
87;2026-05-27T06:23:21.999991+00:00;2026-05-27T06:24:03.707459+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
88;2026-05-27T06:24:54.171759+00:00;2026-05-27T06:25:35.346825+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
89;2026-05-27T06:26:26.446326+00:00;2026-05-27T06:27:08.481728+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
90;2026-05-27T06:27:59.235730+00:00;2026-05-27T06:28:40.818222+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
91;2026-05-27T06:29:31.666519+00:00;2026-05-27T06:30:13.141792+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
92;2026-05-27T06:31:04.798502+00:00;2026-05-27T06:31:46.572710+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
93;2026-05-27T06:32:37.216490+00:00;2026-05-27T06:33:17.835627+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
94;2026-05-27T06:34:08.549566+00:00;2026-05-27T06:34:50.288851+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
95;2026-05-27T06:35:41.272143+00:00;2026-05-27T06:36:22.818630+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
96;2026-05-27T06:37:13.704371+00:00;2026-05-27T06:37:56.030430+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
97;2026-05-27T06:38:46.905284+00:00;2026-05-27T06:39:29.114868+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
98;2026-05-27T06:40:20.793130+00:00;2026-05-27T06:41:02.278876+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
99;2026-05-27T06:41:53.404456+00:00;2026-05-27T06:42:35.367047+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
100;2026-05-27T06:43:26.482257+00:00;2026-05-27T06:44:08.603607+00:00;no_new_non_duplicate_strategies;21;21;20;20;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;HYP_DD20_EXP_SL8_TOPN5_WHEN_GUARD_V1 cagr=10.0202 dd=-18.3584 trades=2410 years=17/11 class=near_valid_low_trades;;15;;trade_count_repair_around_sl10
